2022-06-29 18:26:19,688 INFO    MainThread:2960 [wandb_setup.py:_flush():76] Loading settings from C:\Users\aksha\.config\wandb\settings
2022-06-29 18:26:29,889 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,900 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,910 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,922 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,930 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,939 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,948 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,956 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,963 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,975 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,984 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,994 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,005 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,014 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,022 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,031 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,040 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,049 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,059 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,068 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,080 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,093 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,104 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,117 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,126 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,134 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,142 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,150 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,158 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,171 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,179 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,188 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,200 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,212 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,224 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,233 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,243 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,252 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,262 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,271 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:30,283 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
