2022-07-11 13:44:55,675 INFO    MainThread:15128 [wandb_setup.py:_flush():76] Loading settings from C:\Users\aksha\.config\wandb\settings
2022-07-11 13:45:09,803 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,816 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,828 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,841 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,857 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,869 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,884 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,900 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,916 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,932 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,946 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,958 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,973 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,988 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,003 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,018 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,034 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,046 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,059 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,072 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,084 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,099 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,117 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,134 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,151 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,162 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,176 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,191 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,206 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,220 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,236 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,252 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,269 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,286 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,302 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,320 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,336 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,351 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,367 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,383 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,394 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,408 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,421 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,437 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,453 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,468 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,480 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,497 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,513 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,526 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,542 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,556 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,571 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,586 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,602 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,621 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,640 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,658 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,678 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,698 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,717 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,733 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,754 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,769 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,786 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,803 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,819 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,836 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,849 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,868 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,883 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,895 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,910 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:10,926 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,511 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,570 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,595 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,617 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,640 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,658 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,674 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,689 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,708 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,723 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,740 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,755 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,772 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,793 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,810 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,827 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,851 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,872 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,893 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,915 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,941 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,964 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:13,986 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,003 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,019 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,031 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,049 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,064 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,079 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:14,090 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
